scenario,subscribers,redemption_rate,addon_penetration,self_narrated_share,subscription_cash,addon_cash,gross_cash,tokens_issued,tokens_redeemed,tokens_expired,avg_basis_per_redeemed_token,redeemed_basis_total,expired_basis_total,author_obligation,narrator_obligation,creator_obligation_total,creator_pct_of_gross_cash,avg_creator_per_redemption,marketing_alloc,causas_alloc,noetia_alloc_from_redemptions,unallocated_expired_value,noetia_plus_expired,noetia_pct_of_gross_cash
S1 individual-heavy,10000,0.75,0.15,0.3,1188754.0,39360.0,1228114.0,154800.0,116100.0,38700.0,7.933552971576227,921085.5,307028.5,331590.78,82897.695,414488.475,33.75,3.5700988372093025,71660.4519,20448.0981,414488.475,307028.5,721516.975,58.75
S2 annual-heavy,10000,0.75,0.15,0.3,1188992.0,39360.0,1228352.0,190800.0,143100.0,47700.0,6.437903563941299,921264.0,307088.0,331655.04,82913.76,414568.8,33.75,2.897056603773585,71674.3392,20452.0608,414568.8,307088.0,721656.8,58.75
S3 family-heavy,10000,0.75,0.15,0.3,1792130.0,39360.0,1831490.0,292800.0,219600.0,73200.0,6.255088797814207,1373617.5,457872.5,494502.3,123625.575,618127.875,33.75,2.8147899590163936,106867.4415,30494.3085,618127.875,457872.5,1076000.375,58.75
S4 high redemption,10000,0.95,0.15,0.3,1340497.0,39360.0,1379857.0,194400.0,184680.0,9720.0,7.098029835390946,1310864.15,68992.85,471911.094,117977.7735,589888.8675,42.75,3.194113425925926,101985.23087,29101.18413,589888.8675,68992.85,658881.7175,47.75
S5 high breakage,10000,0.5,0.15,0.3,1340497.0,39360.0,1379857.0,194400.0,97200.0,97200.0,7.098029835390946,689928.5,689928.5,248374.26,62093.565,310467.825,22.5,3.194113425925926,53676.4373,15316.4127,310467.825,689928.5,1000396.325,72.5
S6 add-on intensive,10000,0.75,0.5,0.3,1340497.0,131200.0,1471697.0,205600.0,154200.0,51400.0,7.158059338521401,1103772.75,367924.25,397358.19,99339.5475,496697.7375,33.75,3.2211267023346304,85873.51995,24503.75505,496697.7375,367924.25,864621.9875,58.75
S7 creator-intensive,10000,0.95,0.15,0.8,1340497.0,39360.0,1379857.0,194400.0,184680.0,9720.0,7.098029835390946,1310864.15,68992.85,471911.094,117977.7735,589888.8675,42.75,3.194113425925926,101985.23087,29101.18413,589888.8675,68992.85,658881.7175,47.75
S8 lowest-basis,10000,1.0,0.0,0.3,1799900.0,0.0,1799900.0,360000.0,360000.0,0.0,4.999722222222222,1799900.0,0.0,647964.0,161991.0,809955.0,45.0,2.249875,140032.22,39957.78,809955.0,0.0,809955.0,45.0
S9 max creator load,10000,1.0,0.5,0.8,1340497.0,131200.0,1471697.0,205600.0,205600.0,0.0,7.158059338521401,1471697.0,0.0,529810.92,132452.73,662263.65,45.0,3.2211267023346304,114498.0266,32671.6734,662263.65,0.0,662263.65,45.0
S10 noetia-favorable,10000,0.4,0.5,0.3,1340497.0,131200.0,1471697.0,205600.0,82240.0,123360.0,7.158059338521401,588678.8,883018.2,211924.368,52981.092,264905.46,18.0,3.2211267023346304,45799.21064,13068.66936,264905.46,883018.2,1147923.66,78.0
S11 balanced base,10000,0.75,0.15,0.3,1340497.0,39360.0,1379857.0,194400.0,145800.0,48600.0,7.098029835390946,1034892.75,344964.25,372561.39,93140.3475,465701.7375,33.75,3.194113425925926,80514.65595,22974.61905,465701.7375,344964.25,810665.9875,58.75
"S11 balanced @ 2,500",2500,0.75,0.15,0.3,335124.25,9840.0,344964.25,48600.0,36450.0,12150.0,7.098029835390946,258723.1875,86241.0625,93140.3475,23285.086875,116425.434375,33.75,3.194113425925926,20128.6639875,5743.6547625,116425.434375,86241.0625,202666.496875,58.75
"S11 balanced @ 10,000",10000,0.75,0.15,0.3,1340497.0,39360.0,1379857.0,194400.0,145800.0,48600.0,7.098029835390946,1034892.75,344964.25,372561.39,93140.3475,465701.7375,33.75,3.194113425925926,80514.65595,22974.61905,465701.7375,344964.25,810665.9875,58.75
"S11 balanced @ 50,000",50000,0.75,0.15,0.3,6702485.0,196800.0,6899285.0,972000.0,729000.0,243000.0,7.098029835390946,5174463.75,1724821.25,1862806.95,465701.7375,2328508.6875,33.75,3.194113425925926,402573.27975,114873.09525,2328508.6875,1724821.25,4053329.9375,58.75
"S11 balanced @ 100,000",100000,0.75,0.15,0.3,13404970.0,393600.0,13798570.0,1944000.0,1458000.0,486000.0,7.098029835390946,10348927.5,3449642.5,3725613.9,931403.475,4657017.375,33.75,3.194113425925926,805146.5595,229746.1905,4657017.375,3449642.5,8106659.875,58.75
